country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","14-04-2025 10:00:00",26.349082,92.68449,NH3,4,4,4
India,Assam,Silchar,"Tarapur, Silchar - PCBA","14-04-2025 10:00:00",24.82827,92.79525,PM2.5,23,55,40
India,Assam,Silchar,"Tarapur, Silchar - PCBA","14-04-2025 10:00:00",24.82827,92.79525,NO2,1,15,6
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","14-04-2025 10:00:00",26.987634,94.636574,SO2,NA,NA,NA
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","14-04-2025 10:00:00",26.146529,87.454184,OZONE,10,10,10
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","14-04-2025 10:00:00",25.5626095,84.663264,PM2.5,20,55,32
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","14-04-2025 10:00:00",25.5626095,84.663264,NO2,6,9,8
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","14-04-2025 10:00:00",25.5626095,84.663264,CO,10,27,21
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","14-04-2025 10:00:00",24.75746,84.366208,PM2.5,43,309,155
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB","14-04-2025 10:00:00",26.63086,84.90051,SO2,4,19,12
India,Bihar,Munger,"Town Hall, Munger - BSPCB","14-04-2025 10:00:00",25.376776,86.471523,SO2,NA,NA,NA
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB","14-04-2025 10:00:00",26.11442,85.39813,SO2,5,45,11
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2025 10:00:00",26.1403345,85.3650192,NO2,12,13,12
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2025 10:00:00",26.1403345,85.3650192,NH3,2,3,2
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2025 10:00:00",26.1403345,85.3650192,CO,15,64,57
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB","14-04-2025 10:00:00",26.1403345,85.3650192,OZONE,1,25,2
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB","14-04-2025 10:00:00",26.1209,85.3647,SO2,3,6,4
